id,seed1,seed2,comparison_type,jaccard_similarity,spearman_correlation,kendall_tau
746,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,14593,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,14593,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,14593,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
909,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,3279,14593,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1007,3279,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1007,3279,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1007,14593,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,14593,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1007,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,3279,14593,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
